input|output
   Who wants to play video games?| Yeah, okay.  I guess we'll take off.
  We'll hang out soon.| Ah, no prob, Bob. Huh, congrats again. 
  Hey guys. I'm back. |  Is everything okay?
  Nah, nah, it's cool. It turns out the pups can pretty much take care of themselves. They don't really need me around.| Oh.
  Yeah. I guess rainicorns age really fast. They're basically like older than me already. Kil Whan has a beard now!| Oh!
   I'm here just in time! |  ♪Haaaaaaaaaaaaaaaaa......♪
   Don't let the dragon, drag on, man.|  Mhm.
   Mhm.|  Thanks!
  Sign my rock.|  Okay.
   FINN!  HAVE DINNER WITH ME! PLEASE! PLEASE! PLEASE! PLEASE! FINN! | Sure, man. Yeah. Sure, sometime.
   How about... EVERY NIGHT! THIS WEEK!| Well, maybe one night.
   BOOM!| Hey, y'all! Don't fight!
   HAVE DINNER WITH ME! HAVE DINNER! I WANT DINNER! FINN!| Sucks!
   Finn, can't go outside today?| I guess I could. I just don't wanna deal with those guys right now.
  Ooooohhhhhh.... Deal with me!  Let's play,  Cops and Robbers!  Give me your bank account! Bang! Bang!  Reach for the roof and give me all your gold bricks.|  Ah, okay, okay, don't hurt me!
  Don't worry, Finn.  It's only me, BMO! I'm wearing  a disguise!|  Hmm....
   Your beauty's destroyed!| Hot job! BMO, how do I look?
  Whoa! Intruder! Finn! There's an intruder in here!| No!  It's me! It's Finn!  This is my alter-ego.... Davey Johnson!
  Ohhhhhh.| I'll dress up like this so no one bothers me about being Finn.
  Do you think that'll goin' to do the trick?| I dunno! 
   That's cool. Goodnight, Finn.|  I'm Davey.
  But you love being Davey.| I do love being Davey, but being Davey caused Jake to get arrested.
  But remember that time when Davey sat in the park and saw some people walking around?| Yeah, that was nice.
  And remember that time when Davey swept the floors?|  Yeah, that was great, too. But-
  Do you really wanna go back to being a famous hero? Why not just be Davey? A simple man... with simple goals and simple problems. You can just blend in and live the simple life.| Yeah.... Blend in. Y'know, maybe I'll be Davey just one more time! 
  Davey?!| No, it's me,  Finn!
   Here's your meal, criminal. We feed our criminals.  Hey, stop!|  Goodbye, Davey.
  Yeah, there goes Davey and the criminal.| Good luck catching those guys!
   Glad to have you back, buddy.| Word.
 Other|  This is the spot? Right here?  What was that?!
  Write in me!| What the—This is very strange.
 Other|  Who in this world is sadder than the Ice King?
 Hey Finn! Hey Jake! Can you come up here? I have a job for you!|Okay!
  Sorry CB, we'll finish this up later.| Hey, Preebs.
 Hey, guys. I got a letter from the earls of Lemongrab. They've gone through all the food that I've sent them.  This case contains precious candy seeds for the Lemongrabs to grow new food.  So, I need you two to deliver these seeds to Lemon Castle. |For sure. We'll do it.
 Hey, Lemongrabs! You home?|Holy--!
 Holy--!| Jake? Jake, Jake, Jake, Jake!
  Kiss it!|Aah! Sorry, dudes--got no food! No... food!  Hey!
 You are un-lemon.|Yeah. Cool, man. Hey, do you know where--?
 I am Lemonjon. I see you made it past our Lemon mmmmmmmeringerie!|Wait, what?
 They're quite hungry.|Yeah. What the heck's going on here?
 There is no food, only Lemons--Lemons with bellies empty but for lemon lusts!|Whatever, Lemonjon. We've gotta give those dumb-butts these seeds.
 I wonder who put them in there.|I don't know, but we gotta bust them out! Which way to the dungeon, Lemonjon?
 Oh, cool!| Thanks, man!
 Hmmm.| Yo, Lemon-wipes!
 Um, maybe we should hands... for safety.| Yeah, sure!
 So, where'd you want to look ne-- Eeeh!  Uh, Finn?!| Oh, sorry dude.
  Oh, sorry dude.| Stay close to me.
  I think this is it.| All locked up!  There they are! Hey, Lemongrabs, we're here! We're gonna get you out, just hold tight!
 Maybe the kidnapper's in there, too, coercing them.|Probably the grossest one of all, too--beet red skin, barf, poopin' all its junk-sculpture.
 Ah, stop, man! You're just makin' it worse!  Let's just get this over with. |Lemongrabs, you're free!
  NO CRUMBS!|Are you saying you locked yourselves down here with all the food so you could eat it yourselves?
 Mm! Yes, yes! For the candy food was not consumed--no, no--but was given life!|Wha--?
  Who cares anyway? They've brought no food! We're all going to die!|Look. We brought these seeds.  They're special candy seeds.
 You really are gonna die.|...and all your boys, too!
 Our... boys?|Come on. We'll take you to see Princess Bubblegum. She knows more about candy than anyone; she built a whole kingdom out of candy!
 Go! Go!|What's going on, Lemongrabs?!
 We warned you about us!|Yaaaah!  What the--?
  Whoaaaaaa!|Jake! Are you alright?
 Yeah, but look!  He's heading right for the Candy Kingdom!| And he's too big to duke it out with! Unless...
 Giant poison candy aspirin!  I've got this one, but it might be too small.|No. We'll kick him in his heart 'til he's history. Those must have been Lemonjon's guts we saw before. His heart is his weak spot.
 Yeah, but we'll never find it again in time... unless that's it there  with the juice coming out. Remember all that juice, from before?|Oh yeah, that's probably it.  Whoaaa!  Oh, man!
  Tastes like vitamins.|
 Are you sure this is it? It's not even doing anything.|Just smash it already, grandma.
 Right. | Oh, nice one, Jake.
  Whoa, hold the phone! What is this powerful new juice coursing fromst my core source?  The juice aches. Is this the rumored ache of feeling? The feeling of caring unknown to Lemons? New thoughts emerge! If I act, the Candy People will suffer. If I don't, the Lemon people will suffer. The greater good demands but one course only|Whoa, dang!  That Lemonjon turned himself all up into lemon candy! Man, that Lemonjon's all right.
  ...and... there... we... go.  All done! The last trace of the candy life formula is out of their heads!|...and I snatched this  out of the Lemon castle, boyee!
 I think the swimming hole's right around the corner!|Yes! Woo! Woo!
 First one in the water is...um...first one in the water!|No fair! I have to take off my stuff.
 You ready to get out?|Yeah, dude.
 Hopefully BMO sees that.|Didn't Lady tell you not to use the Sassage Flare?
 Yeah.|Well, don't abuse it man. 'Cause you're gettin'...
 I'm gettin' what?|'Cause you're gettin' fat.
 'Cause you're gettin' fat.|Wah!  Whoa...
 Wah!  Whoa...| Hey. Relax.
 Grob, dude! You're hat's alive!  This is crazy!  He likes me!|It's not my hat. It's, like, this other thing now.
 Yeah, man, hats can be anything|Yeah, but it's like, living now.
 Yeah, it's a miracle. Now he can listen to our rad jokes and hang out.|Right. Maybe it's good he's alive.  You were a rad hat, and now you're a rad...little dude.
 Right. Maybe it's good he's alive.  You were a rad hat, and now you're a rad...little dude.|Yo, bro! Our eyes are down here. C'mon little dude. Let's go live life!
 Ha ha! You know it!|BMO, this is Little Dude.
 Hello!|Cribes!
 Oh no! Get off of me!|Little Dude, no!  You don't jump on heads. That junk is rude, Little Dude! You okay, BMO?
 I am fine, Finn. I just thought you kept better company.|Sorry, BMO, he's just excited.
 Sorry, BMO, he's just excited.|Sorry, Little Dude, but I have to eat. 
 Don't touch anything! I'm still frying up garnish!|Okay.
  Your head looks weird with short hair man, heh, heh, it feels like a peach.|Hey, Little Dude, y'all can get in on this if you promise to be good.  Only good babies get sassages.
 Hey, don't eat the—the food?|  Dude, he turned it into poo! This is poo now—smell it!
  Quit it!  Gotcha!|Oh, little Deezy. What am I gonna do with you?
 You guys should get ready for bed.|Yeah, okay.
 Yeah, okay.|Oh!
  Nyang! Nyang!|Shhhh. Little Dude, you gotta chill.  Night-night. 
  Nyang.|Jake, wake up. Someone's on the house!
 He-ah-ha. |Ugh.  No, no, no!
 Ugh.  No, no, no!| No, not on my head! Poo buns! Poo buns on my head! WAAAAAH!
 | Ninja.
  Oooh-hoo-hoo-hoo!|What are you doing in our house, homey?
 Please don't hurt me! You're in grave danger and it's all my fault!|Wha? What are you talking about?
 Your hat accidentally touched my head flower. See?  My magic imbues anything it touches with an evil spirit, one that craves destruction and chaos. Yech.  I buried myself so that nothing would touch my body ever again, but then this bloom grew out of my head. C'est la vie!|Evil magic donks, homey.
" I'm sorry, that's just the way my magic works.  Papa always said I was a bad wizard. Right, Papa?! ""Baby's a bad wizard."" A bad wizard, huh?! You're a bad wizard!  I'm a bad wizard! "|Whoa, cool it, man. Let's just fix Little Dude.
  Where is he?!| Little Dude! Little Dude!
  Nyang-nyang-nyang-nyang-nyang-nyang!|No, Little Dude!
 Nyang?|That's a bad Little Dude!
  Nyang, nyang, nyang... |Little Dude! You were supposed to be my buddy!
 Oh, gleeble snoots!|How is he so strong?
 Nyang?   Nyang.|No! Not the Gumball Guardian!
 Huh?  Yes! | Poor Little Dude. He was just doin' it up the only way he knew how. It's not his fault he was created evil.
 Yeah. He deserves to come back good.|Wizard, Mommy-magic this dude back to life.
 I see.|And this dude  is your pops.
 No, I-I, ooh—I guess I am. Huh.| Be good to this dude.
 I will. Way better than my papa was to me.|Yup, that's the idea. Jake, looks like I need a new hat.
  Ooh!| What was that?
"  He was saying ""evil, evil, evil"" over and over again."| Yeah, I heard.
  Well, I wasn't sure if you heard him 'cause he was whispering.| Yeah, I heard. 
  Oh, not you, Jake, my dad. I always catch him whispering stuff in my ear while I'm not paying attention. He keeps saying I'm evil.| Whoa, you best not be believing that whack bunk. I bet he's trying to make your life bad, so you'll think you're evil. But you're really not!
  How can I know for sure?| Dungeons.
  What?| Let's have a good time in a dungeon or something, that always clears my head that reminds me what's what.
  And that will make me good?| No, that will show you not to worry so much, because you're already good in here.
  Ok, yeah, let's do it.| Dungeons!
  Is this how you look for a dungeon?| Yeah... a lot of times the entrances are hidden, so you gotta look under rocks and stuff for a secret switch.
  Yeah... a lot of times the entrances are hidden, so you gotta look under rocks and stuff for a secret switch.| Sometimes it takes a while... Hmm.
  That tree over there is not made of wood.| Really?
  Really?| Yes!
  Yes!| Ooh... gauntlet.
  Thanks for taking me out Finn.| No prob, Bob, light this for me, will ya? 
  Oh, sure. Um... do we need a torch? I'm sort of made of fire.| Oh...well, I guess torches are just cool for dungeons, you know?
  Oh, okay.| Yeah...I like to hang on to it.
  Boy, this place is creepy!| Really? I feel like it's trying too hard. Gold piece! 
  Oh, you mean, like, with all the skulls? | Whoa! Whoa!
  Burning you alive!| Haha no, no, wait a sec. Sorry, one second.
  Sure.| He might have an important loot on him, so we don't wanna just burn him up; plus it's a little cruel even for an evil guy, check this out.  RRRAAA, you're gonna surrender!
  Okay, okay, I surrender!!!| I shall grant thee clemency! If you do the splits! Do the splits!
  I-I can't-I can't do the splits.| Do the splits, thou milk-livered maggot pie!
  Okay, okay...Ow, ow, ow! | See, a lot of times you can overpower these guys with confidence.
  Neat!| Got any loot on ya?
  Just this map. It'll-it'll help you.| Ha! See? This would've been burned!
  Yeah, no, that makes sense.| What else you got?!
  Yeah! Uh, uh, there's a treasure chest in the corner, please stop yelling.| Hah, hah! I knew it.  Oh, cram it to the butternuts, it's locked!
  Aahh! I don't know were the keys is, please don't yell!| Hahaha, alright. We can come back to that later.  Hey, are you having fun?
   Race you to the next monster!| WHOA, whoa!
  What?|  That's not how you do things in a dungeon. You gotta sneak.
  Sneak?| Like this.  And you gotta look around.  
  Like this.  And you gotta look around.  |  Ok, this guy's too big to intimidate, but I have a plan. First, you shoot some fire at that rope, the chandelier falls, we distract the monster and we run in. Element surprise.
   Wow.| You ready?
  Yeah.|  Before we go in, how good are you at quietly throwing a tiny bit of fire?
  Uhh... what?| Like on a scale of 1 to 100, how good are you at quietly throwing a tiny bit of fire at a rope 50 feet away?
  Uhh...| Scale of 1 to 100.
   42.|  42?!
   Well, I don't know! I've never rated myself before.|  Well, that's cool, that's cool. Just try to hit that rope.
  Are you okay?| Yeah, I'm good. it's a hologram.
  Oh. Neat. So, uhh, should we keep going?| Yeah, although it does raise the question. Why would someone go through the trouble of setting up a hologram? Unless... they've hidden something in this room? 
  Yeah, although it does raise the question. Why would someone go through the trouble of setting up a hologram? Unless... they've hidden something in this room? |  Hey, wake up.
  I was meditating. | Look what I found. 
  We have to go back?| We don't have to, we get to! Come on. 
  We don't have to, we get to! Come on. | See? That didn't take long at all. Now we get treasure.
  Okay.|  Nope. This key's for something else. Haha. Oh, well. 
   Jeez. This is kinda boring. At least he's walking fast.| See? That's where I found the key.
  See? That's where I found the key.| Snapdragons!!
  Scatter fire! | No, no, we shake them down first, remember?
